2025-04-02 06:48:55,catnap707,url,http://unenthusiastica.nir37.com,#phishing,https://x.com/catnap707/status/1907324348253548683
2025-04-02 06:48:55,catnap707,url,http://tetrachloroethyle.qkyg1.com,#phishing,https://x.com/catnap707/status/1907324348253548683
2025-04-02 06:50:48,drb_ra,url,http://167.99.6.177:9090,#C2 #Hak5_Cloud_C2,https://x.com/drb_ra/status/1907324820091445536
2025-04-02 06:50:48,drb_ra,ip,167.99.6.177,#C2 #Hak5_Cloud_C2,https://x.com/drb_ra/status/1907324820091445536
2025-04-02 06:50:52,drb_ra,url,http://85.9.201.85:443,#C2,https://x.com/drb_ra/status/1907324837762134085
2025-04-02 06:50:52,drb_ra,ip,85.9.201.85,#C2,https://x.com/drb_ra/status/1907324837762134085
2025-04-02 06:50:56,drb_ra,url,http://84.38.134.37:2404,#Remcos #C2,https://x.com/drb_ra/status/1907324854925201755
2025-04-02 06:50:56,drb_ra,ip,84.38.134.37,#Remcos #C2,https://x.com/drb_ra/status/1907324854925201755
2025-04-02 06:51:00,drb_ra,url,http://173.225.103.138:7070,#Remcos #C2,https://x.com/drb_ra/status/1907324872868401320
2025-04-02 06:51:00,drb_ra,ip,173.225.103.138,#Remcos #C2,https://x.com/drb_ra/status/1907324872868401320
2025-04-02 06:51:05,drb_ra,url,http://192.3.111.145:2404,#Remcos #C2,https://x.com/drb_ra/status/1907324891159814359
2025-04-02 06:51:05,drb_ra,ip,192.3.111.145,#Remcos #C2,https://x.com/drb_ra/status/1907324891159814359
2025-04-02 06:51:09,drb_ra,ip,45.11.78.142,#Remcos #C2,https://x.com/drb_ra/status/1907324910487121926
2025-04-02 06:51:09,drb_ra,url,http://45.11.78.142:10000,#Remcos #C2,https://x.com/drb_ra/status/1907324910487121926
2025-04-02 06:51:13,drb_ra,url,http://89.238.176.4:57376,#Remcos #C2,https://x.com/drb_ra/status/1907324928048701662
2025-04-02 06:51:13,drb_ra,ip,89.238.176.4,#Remcos #C2,https://x.com/drb_ra/status/1907324928048701662
2025-04-02 06:51:18,drb_ra,url,http://111.230.96.93:3232,#C2 #Reverse_SSH,https://x.com/drb_ra/status/1907324946683957487
2025-04-02 06:51:18,drb_ra,ip,111.230.96.93,#C2 #Reverse_SSH,https://x.com/drb_ra/status/1907324946683957487
2025-04-02 06:51:23,drb_ra,url,http://200.107.126.227:3085,#NetSupportRAT #C2,https://x.com/drb_ra/status/1907324966481043951
2025-04-02 06:51:23,drb_ra,ip,200.107.126.227,#NetSupportRAT #C2,https://x.com/drb_ra/status/1907324966481043951
2025-04-02 06:51:27,drb_ra,url,http://46.137.55.13:4444,#NetSupportRAT #C2,https://x.com/drb_ra/status/1907324985275785369
2025-04-02 06:51:27,drb_ra,ip,46.137.55.13,#NetSupportRAT #C2,https://x.com/drb_ra/status/1907324985275785369
