2022-10-29 06:22:24,harugasumi,url,https://www.polobingoblog.com/jp,#phishing,https://twitter.com/harugasumi/status/1586242025963540480
2022-10-29 06:22:24,harugasumi,ip,192.161.59.251,#phishing,https://twitter.com/harugasumi/status/1586242025963540480
2022-10-29 06:22:24,harugasumi,url,https://www.bonanexhibition.com/jp,#phishing,https://twitter.com/harugasumi/status/1586242025963540480
2022-10-29 06:22:50,ecarlesi,url,http://prorectifiire.online/index-2.html,#phishing,https://twitter.com/ecarlesi/status/1586242134629228544
2022-10-29 06:25:35,ecarlesi,url,https://patagoniaarg.com/,#phishing,https://twitter.com/ecarlesi/status/1586242828400840705
2022-10-29 06:28:20,dubstard,ip,77.73.133.60,#scam,https://twitter.com/dubstard/status/1586243518057811968
2022-10-29 06:28:20,dubstard,url,https://xn--unisap-z57b.com,#scam,https://twitter.com/dubstard/status/1586243518057811968
2022-10-29 06:41:58,ecarlesi,url,http://colsabornatural.com/wp-content.zip,#phishing,https://twitter.com/ecarlesi/status/1586246948528574464
2022-10-29 07:11:14,ecarlesi,url,http://85978.org/,#malware,https://twitter.com/ecarlesi/status/1586254314602889217
2022-10-29 07:18:24,ecarlesi,url,http://reactivationcompte.org,#phishing,https://twitter.com/ecarlesi/status/1586256117373734912
2022-10-29 07:26:58,ecarlesi,url,https://daftarbifastnew.com/-brimo,#phishing,https://twitter.com/ecarlesi/status/1586258272390201344
2022-10-29 07:29:31,ecarlesi,url,http://connexion-ammeli.com,#phishing,https://twitter.com/ecarlesi/status/1586258915766968321
2022-10-29 07:31:20,ecarlesi,url,https://daftarbifastnew.com/-brimo/,#phishing,https://twitter.com/ecarlesi/status/1586259374464450560
2022-10-29 07:31:32,ecarlesi,url,http://gettingassisted-byupsparcel.com/,#phishing,https://twitter.com/ecarlesi/status/1586259424619790336
2022-10-29 07:34:46,ecarlesi,url,https://mailboxmess.com/,#phishing,https://twitter.com/ecarlesi/status/1586260238793117697
2022-10-29 07:34:54,ecarlesi,url,https://informations-renouvellement.com,#phishing,https://twitter.com/ecarlesi/status/1586260270191616001
2022-10-29 07:37:35,ecarlesi,url,https://bitem.shop/admin%20and%20web%20new%20install%20v12.0.zip,#phishing,https://twitter.com/ecarlesi/status/1586260946946871296
2022-10-29 07:38:00,ecarlesi,url,https://jl5qzgdhqfkfpn5smn.com/,#phishing,https://twitter.com/ecarlesi/status/1586261049191567360
2022-10-29 07:40:40,ecarlesi,url,https://camsncasde.com/bill.php,#phishing,https://twitter.com/ecarlesi/status/1586261721030819841
2022-10-29 07:40:41,ecarlesi,url,https://jl5qzgdhqfkfpn5smn.com/bill.php,#phishing,https://twitter.com/ecarlesi/status/1586261727594909696
2022-10-29 07:41:11,ecarlesi,url,http://fibrcard.com,#phishing,https://twitter.com/ecarlesi/status/1586261851230420994
2022-10-29 07:41:46,ecarlesi,url,https://bitem.shop/admin.zip,#phishing,https://twitter.com/ecarlesi/status/1586261999805153281
2022-10-29 07:42:46,ecarlesi,url,https://bitem.shop/vegi_backend.zip,#phishing,https://twitter.com/ecarlesi/status/1586262251257864192
2022-10-29 07:43:27,ecarlesi,url,http://fibrefcucard.com,#phishing,https://twitter.com/ecarlesi/status/1586262421806653440
2022-10-29 07:43:35,ecarlesi,url,http://thetylercandlestore.com/,#phishing,https://twitter.com/ecarlesi/status/1586262456699084800
2022-10-29 07:43:36,ecarlesi,url,http://samsung-device-location.live/,#phishing,https://twitter.com/ecarlesi/status/1586262461736521732
2022-10-29 07:45:11,ecarlesi,url,https://596729.com/index.html?sharename=596729.com,#malware,https://twitter.com/ecarlesi/status/1586262860656697347
2022-10-29 07:45:23,ecarlesi,url,https://596746.com/,#malware,https://twitter.com/ecarlesi/status/1586262909679800322
2022-10-29 07:45:29,ecarlesi,url,https://596684.com/,#malware,https://twitter.com/ecarlesi/status/1586262934325436416
2022-10-29 07:46:20,ecarlesi,url,https://596730.com/,#malware,https://twitter.com/ecarlesi/status/1586263148893544451
2022-10-29 07:46:32,ecarlesi,url,https://596711.com/index.html?sharename=596711.com,#malware,https://twitter.com/ecarlesi/status/1586263196951879681
2022-10-29 07:48:04,ecarlesi,url,https://596760.com/index.html?sharename=596760.com,#malware,https://twitter.com/ecarlesi/status/1586263586342576131
2022-10-29 07:48:04,ecarlesi,url,https://596742.com/,#malware,https://twitter.com/ecarlesi/status/1586263583549231105
2022-10-29 07:48:05,ecarlesi,url,https://596752.com/,#malware,https://twitter.com/ecarlesi/status/1586263586455916544
2022-10-29 07:48:05,ecarlesi,url,https://596706.com/,#malware,https://twitter.com/ecarlesi/status/1586263588326580224
2022-10-29 07:48:07,ecarlesi,url,https://596717.com/,#malware,https://twitter.com/ecarlesi/status/1586263598812258305
2022-10-29 07:48:52,ecarlesi,url,https://596674.com/,#malware,https://twitter.com/ecarlesi/status/1586263785513385985
2022-10-29 07:49:00,ecarlesi,url,https://596726.com/index.html?sharename=596726.com,#malware,https://twitter.com/ecarlesi/status/1586263820720390146
2022-10-29 07:49:00,ecarlesi,url,https://596624.com/,#malware,https://twitter.com/ecarlesi/status/1586263819902410752
2022-10-29 07:49:00,ecarlesi,url,https://596642.com/index.html?sharename=596642.com,#malware,https://twitter.com/ecarlesi/status/1586263820670046208
2022-10-29 07:53:33,ecarlesi,url,https://596730.com/index.html?sharename=596730.com,#malware,https://twitter.com/ecarlesi/status/1586264963450130432
2022-10-29 07:53:33,ecarlesi,url,https://596717.com/index.html?sharename=596717.com,#malware,https://twitter.com/ecarlesi/status/1586264963328376832
2022-10-29 07:53:51,ecarlesi,url,https://596752.com/index.html?sharename=596752.com,#malware,https://twitter.com/ecarlesi/status/1586265041548058625
2022-10-29 07:55:18,ecarlesi,url,https://596706.com/index.html?sharename=596706.com,#malware,https://twitter.com/ecarlesi/status/1586265404875444225
2022-10-29 07:55:49,ecarlesi,url,https://shaofuapp.com/,#malware,https://twitter.com/ecarlesi/status/1586265535326683136
2022-10-29 07:56:30,ecarlesi,url,https://596721.com/,#malware,https://twitter.com/ecarlesi/status/1586265707775508480
2022-10-29 07:56:47,ecarlesi,url,https://596742.com/index.html?sharename=596742.com,#malware,https://twitter.com/ecarlesi/status/1586265777858134018
2022-10-29 07:56:47,ecarlesi,url,https://596624.com/index.html?sharename=596624.com,#malware,https://twitter.com/ecarlesi/status/1586265777975476224
2022-10-29 07:57:32,ecarlesi,url,https://596761.com/,#malware,https://twitter.com/ecarlesi/status/1586265964978573312
2022-10-29 07:57:33,ecarlesi,url,http://596649.com/,#malware,https://twitter.com/ecarlesi/status/1586265969235828736
2022-10-29 07:57:39,ecarlesi,url,https://596720.com/,#malware,https://twitter.com/ecarlesi/status/1586265995131461634
2022-10-29 07:58:21,ecarlesi,url,https://596721.com/index.html?sharename=596721.com,#malware,https://twitter.com/ecarlesi/status/1586266173687345153
2022-10-29 07:59:22,ecarlesi,url,https://596685.com/index.html?sharename=596685.com,#malware,https://twitter.com/ecarlesi/status/1586266426494656514
2022-10-29 08:00:37,ecarlesi,url,https://596649.com/,#malware,https://twitter.com/ecarlesi/status/1586266743185575938
2022-10-29 08:14:25,ecarlesi,url,http://596653.com/,#malware,https://twitter.com/ecarlesi/status/1586270213984641027
2022-10-29 08:14:35,ecarlesi,url,https://596749.com/,#malware,https://twitter.com/ecarlesi/status/1586270258813353984
2022-10-29 08:15:05,ecarlesi,url,http://596700.com/,#malware,https://twitter.com/ecarlesi/status/1586270385074585604
2022-10-29 08:15:22,ecarlesi,url,http://596744.com/,#malware,https://twitter.com/ecarlesi/status/1586270455169703936
